Prediction,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,Orbital Period,koi_period_err1,koi_time0bk,koi_time0bk_err1,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_depth,koi_depth_err1,Planet Radius,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,Stellar Radius,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,tda_entropy_dim0,tda_entropy_dim1,tda_total_dim0,tda_total_dim1
1,0,0,0,0,2.470613377,2.7e-08,122.763305,8.7e-06,0.818,0.001,-0.001,1.74319,0.00107,14231.0,4.2,13.04,0.51,-0.51,1339.0,761.46,106.21,-95.76,4304.3,5820.0,78.0,-78.0,4.457,0.024,-0.024,0.964,0.038,-0.038,286.80847,49.316399,11.338,4.8054452761240185,3.0340352827333077,66.66930401325226,1.9501936435699463
1,0,1,0,0,2.204735417,4.3e-08,121.3585417,1.6e-05,0.224,0.159,-0.216,3.88864,0.00203,6674.7,1.7,16.1,0.81,-0.91,2048.0,4148.92,651.59,-654.46,5945.9,6440.0,76.0,-89.0,4.019,0.033,-0.027,1.952,0.099,-0.11,292.24728,47.969521,10.463,4.777014017200396,2.566629940547299,71.25907051563263,1.4454677104949951
1,0,0,0,0,3.522498429,1.98e-07,121.1194228,4.71e-05,0.631,0.007,-0.007,3.19843,0.00653,9145.7,6.6,14.59,1.11,-1.11,1521.0,1264.67,307.23,-276.48,1741.5,6225.0,112.0,-137.0,4.169,0.055,-0.045,1.451,0.11,-0.11,281.28812,42.45108,13.563,4.644594416417174,2.2657855936396762,32.37245036661625,0.45538103580474854
1,0,0,0,0,3.709214104,6.536e-06,133.98318,0.00143,0.051,0.395,-0.051,2.6302,0.0427,131.1,3.0,1.16,0.17,-0.12,1206.0,500.46,197.96,-130.54,50.6,5833.0,105.0,-117.0,4.407,0.085,-0.114,1.022,0.143,-0.107,295.64871,48.49556,12.772,4.818776780825006,3.8157414163402605,23.947304904460907,1.0953361988067627
2,0,1,0,0,11.521446064,1.98e-06,170.839688,0.000131,2.483,2.851,-0.673,3.6399,0.0114,17984.0,31.9,150.51,39.76,-13.31,753.0,75.88,58.89,-19.99,622.1,5795.0,155.0,-172.0,4.554,0.033,-0.176,0.848,0.224,-0.075,297.07993,47.597401,15.472,4.821807746295114,3.4278185885848047,34.2273391187191,1.7918574810028076
2,0,1,0,0,19.40393776,2.068e-05,172.484253,0.000842,0.804,0.007,-0.005,12.2155,0.0598,8918.7,53.3,7.18,0.76,-0.68,523.0,17.69,6.66,-4.88,214.7,5043.0,151.0,-151.0,4.591,0.072,-0.048,0.68,0.072,-0.065,289.25821,47.635319,15.487,4.8164542394347025,2.921041615017989,39.077418237924576,1.4452606439590454
2,0,1,0,0,19.221388942,1.123e-06,184.5521637,4.5e-05,1.065,0.031,-0.034,4.79843,0.00235,74284.0,21.9,49.29,16.03,-5.0,698.0,55.97,54.55,-16.4,2317.0,6117.0,182.0,-200.0,4.496,0.052,-0.208,0.947,0.308,-0.096,295.81454,47.69035,15.341,4.824355457237242,3.084662270132199,35.52443790435791,1.4995054006576538
2,0,1,0,0,16.46983774,1.361e-05,180.881761,0.000623,0.292,0.118,-0.101,9.4378,0.06,10479.0,39.9,7.94,0.89,-0.89,595.0,29.61,12.01,-8.91,303.4,5152.0,168.0,-153.0,4.517,0.088,-0.072,0.786,0.088,-0.088,297.15442,47.668701,15.788,4.822940158015408,3.435568846034358,38.280343264341354,2.0964027643203735
1,0,0,0,0,9.27358173,1.037e-05,173.258155,0.000877,0.387,0.004,-0.386,3.2875,0.0309,1288.3,16.8,2.47,0.2,-0.24,649.0,41.85,12.49,-11.7,87.2,4856.0,131.0,-146.0,4.583,0.065,-0.035,0.696,0.056,-0.068,288.13824,47.724449,15.302,4.834793132314301,3.553927976756476,25.446537911891937,0.8935137391090393
1,0,0,0,0,6.02930329,5.509e-06,171.602959,0.000713,0.258,0.196,-0.258,1.5821,0.0311,1912.7,34.4,2.85,0.26,-0.15,678.0,50.04,16.4,-9.88,65.4,4537.0,123.0,-123.0,4.648,0.02,-0.056,0.672,0.062,-0.036,283.71088,47.86327,15.784,4.802025624346686,2.7111393545618543,24.356553375720978,0.6219675540924072
2,0,1,1,1,2.696370652,7.534e-06,170.73769,0.00234,0.044,0.36,-0.044,3.6129,0.0686,397.9,9.5,1.58,0.13,-0.16,1066.0,305.34,96.64,-86.33,48.2,4989.0,149.0,-149.0,4.504,0.09,-0.06,0.819,0.067,-0.082,283.76547,47.804298,15.269,4.806324116062388,2.3605883206083282,38.5085586309433,0.6095662117004395
1,0,0,0,0,5.349553819,8.834e-06,171.80694,0.00127,0.092,0.369,-0.092,3.0278,0.0471,831.0,14.8,2.55,0.16,-0.24,919.0,168.99,34.66,-38.48,60.6,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.91,0.057,-0.086,292.37613,47.880989,15.416,4.74486551322006,2.6517274401457573,16.59160867333412,0.44871532917022705
1,0,0,0,0,3.94105221,1.094e-05,136.08662,0.00233,0.226,0.243,-0.226,2.5984,0.0737,363.3,13.9,1.7,0.11,-0.16,1018.0,253.15,51.91,-57.65,28.9,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.91,0.057,-0.086,292.37613,47.880989,15.416,4.751233823772519,2.272130017213282,16.208780646324158,0.504481852054596
1,0,0,0,0,8.10904807,6.787e-05,132.8031,0.00716,0.025,0.425,-0.025,3.596,0.198,217.4,16.8,1.3,0.09,-0.12,800.0,97.03,19.9,-22.09,14.1,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.91,0.057,-0.086,292.37613,47.880989,15.416,4.745103297498087,1.9542634791513163,16.39990797638893,0.30488747358322144
2,0,1,0,0,386.6030528,0.0001369,166.342079,0.000299,0.9765,0.0497,-0.0268,6.8057,0.0184,24927.0,45.8,41.5,1.68,-1.68,297.0,1.84,0.26,-0.24,994.0,5543.0,79.0,-79.0,4.081,0.014,-0.014,1.58,0.064,-0.064,292.27374,37.671558,12.394,4.787928717393864,1.8014829561443289,51.59482002258301,0.4730112552642822
1,0,0,0,0,21.67699193,7.01e-05,171.53594,0.00258,0.896,0.01,-0.663,3.4555,0.0656,857.2,27.1,2.95,0.12,-0.23,530.0,18.64,2.78,-3.8,34.3,4954.0,79.0,-79.0,4.5,0.075,-0.02,0.828,0.032,-0.065,290.46512,47.92918,15.377,4.728274031564735,3.1775272917128166,15.803239434957504,0.5871253609657288
1,0,0,0,0,4.99677968,1.389e-05,171.74208,0.00219,0.71,0.006,-0.533,2.1717,0.0762,934.7,39.7,2.78,0.52,-0.23,917.0,166.95,102.06,-42.14,28.2,5339.0,175.0,-159.0,4.552,0.034,-0.136,0.847,0.161,-0.069,297.80826,47.946671,15.861,4.833394841711056,3.6983208784513986,24.591780483722687,1.559975028038025
1,0,0,0,0,4.280963604,6.141e-06,171.89659,0.00115,0.424,0.112,-0.356,2.875,0.042,750.8,14.1,2.3,0.58,-0.19,1012.0,247.87,182.24,-63.32,61.8,5644.0,152.0,-169.0,4.564,0.032,-0.168,0.831,0.207,-0.069,294.26581,49.314091,15.356,4.825823439506165,2.769387540117184,23.309391111135483,0.7256575226783752
2,0,0,1,0,1.50635409,4.7e-07,170.998064,0.000246,0.86,0.042,-0.125,1.5155,0.0483,2211.7,18.3,4.53,1.01,-0.44,1452.0,1054.12,703.1,-292.26,181.1,5714.0,155.0,-172.0,4.563,0.04,-0.16,0.831,0.186,-0.08,295.66522,49.351009,15.525,4.820693647527181,3.148725418884225,28.43493676185608,0.7628985643386841
2,0,1,1,0,670.645531,0.001237,209.04355,0.00157,0.701,0.004,-0.005,53.412,0.131,18091.0,33.5,14.14,2.13,-0.71,196.0,0.35,0.15,-0.06,642.7,5520.0,100.0,-111.0,4.466,0.032,-0.12,0.983,0.148,-0.049,296.69861,49.316479,15.207,4.810546566628779,2.9851633185008417,101.81652426719666,3.3062169551849365
2,0,1,0,0,61.2563628,0.000156,173.83826,0.00209,1.248,6.912,-0.067,7.633,0.105,5123.3,70.6,39.87,12.79,-5.48,505.0,15.43,14.85,-5.51,85.3,6144.0,184.0,-220.0,4.402,0.072,-0.217,1.091,0.35,-0.15,283.72592,49.479519,15.25,4.8358583505627255,2.961779697741359,38.405181884765625,1.0626251697540283
1,0,0,0,0,38.3775486,0.0001602,172.82048,0.00338,0.468,0.461,-0.267,5.588,0.113,724.2,23.4,2.82,0.37,-0.34,529.0,18.53,6.72,-4.93,34.7,5481.0,82.0,-74.0,4.369,0.121,-0.099,1.036,0.138,-0.124,291.72202,49.480869,15.172,4.803206722372837,2.82224397874612,18.942460149526596,0.662242591381073
1,0,0,0,0,41.19725502,9.345e-05,165.00404,0.00171,0.045,0.337,-0.045,4.6297,0.0633,2213.9,45.5,3.86,0.15,-0.33,439.0,8.76,1.27,-1.9,51.2,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.848,0.033,-0.072,286.99948,48.37579,15.841,4.7244501258791685,3.0791394550116435,17.690627336502075,0.8971804976463318
1,0,0,0,0,6.252962249,9.577e-06,171.30126,0.00117,0.105,0.329,-0.105,2.5819,0.0426,1036.9,24.5,2.65,0.1,-0.23,823.0,108.3,15.73,-23.44,47.1,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.848,0.033,-0.072,286.99948,48.37579,15.841,4.7106442726333375,2.716364300459349,16.152784198522568,0.6498768329620361
1,0,0,0,0,16.01308419,4.854e-05,176.3608,0.00243,0.799,0.097,-0.551,3.2554,0.0791,1121.9,39.4,3.1,0.34,-0.31,593.0,29.31,11.77,-8.24,33.2,5015.0,164.0,-149.0,4.499,0.092,-0.115,0.826,0.091,-0.082,297.02563,48.478588,15.39,4.8340064719287215,3.1643802770656957,25.29962468147278,1.1343992948532104
1,0,0,0,0,32.62876672,5.801e-05,194.1019,0.00138,0.021,0.402,-0.021,4.7971,0.058,1804.8,25.4,3.36,0.76,-0.33,506.0,15.55,10.51,-4.18,80.0,5586.0,152.0,-152.0,4.56,0.05,-0.15,0.798,0.181,-0.077,285.71854,48.505859,15.082,4.819654545572609,3.3398051911020064,23.605387926101685,0.9172149896621704
1,0,0,0,0,91.7732862,0.0007518,193.8378,0.00643,0.606,0.335,-0.4,6.473,0.204,652.0,36.2,2.12,0.48,-0.21,359.0,3.92,2.64,-1.06,19.1,5586.0,152.0,-152.0,4.56,0.05,-0.15,0.798,0.181,-0.077,285.71854,48.505859,15.082,4.825809162350979,3.1125608305436177,22.500468030571938,0.7579289078712463
1,0,0,0,0,4.959319244,5.15e-07,172.2585292,8.27e-05,0.831,0.016,-0.004,2.22739,0.0075,9802.0,20.0,12.21,1.96,-1.46,1103.0,349.4,146.52,-93.21,696.5,5712.0,77.0,-77.0,4.359,0.11,-0.11,1.082,0.173,-0.13,292.16705,48.727589,15.263,4.763570461692548,1.8881060992405307,20.71876573562622,0.4622536301612854
2,0,1,1,0,2.701287801,5.634e-06,170.69579,0.00164,1.016,3.967,-0.059,3.3827,0.0892,860.4,20.9,6.54,1.64,-0.75,1222.0,527.81,411.33,-166.35,48.3,5550.0,182.0,-182.0,4.468,0.091,-0.169,0.91,0.228,-0.105,297.92365,48.777321,15.54,4.838341397329512,3.4009021375974284,34.3954673409462,1.7620707750320435
1,0,0,0,0,4.49876511,1.777e-05,171.34905,0.003,0.312,0.154,-0.312,3.7362,0.0934,460.0,17.5,2.1,0.65,-0.22,1133.0,389.62,365.71,-117.4,29.5,6075.0,189.0,-210.0,4.486,0.052,-0.208,0.969,0.3,-0.1,298.45685,48.791592,15.395,4.812097393023276,2.4212361302942726,18.952265739440918,0.502293586730957
2,0,1,0,0,19.651209505,5.862e-06,179.401981,0.000249,0.723,0.01,-0.02,5.2514,0.0179,11766.0,27.7,12.42,3.92,-1.69,730.0,67.03,62.46,-23.51,513.4,6074.0,168.0,-210.0,4.391,0.09,-0.21,1.063,0.336,-0.144,291.0939,48.933842,15.536,4.831896960110065,3.155394881385701,33.754430532455444,0.9422532320022583
1,0,0,0,0,5.412203927,3.052e-06,133.143089,0.000468,0.787,0.005,-0.565,2.9472,0.024,601.6,4.0,2.94,0.43,-0.38,1093.0,337.68,137.29,-102.18,166.7,5779.0,104.0,-115.0,4.339,0.132,-0.108,1.087,0.157,-0.142,287.88733,46.276241,12.791,4.790290712103496,3.2221205221152536,21.59497956931591,0.7919333577156067
1,0,0,0,0,41.43958662,7.557e-05,208.93203,0.00142,0.355,0.04,-0.355,10.5989,0.088,2793.1,22.6,5.5,1.57,-0.96,516.0,16.72,14.66,-6.64,141.1,5468.0,180.0,-164.0,4.367,0.153,-0.187,1.046,0.297,-0.183,295.55505,49.017342,15.4,4.828700515163395,3.142922566377027,30.677510261535645,0.9857238531112671
1,0,0,0,0,8.35389523,1.524e-05,171.63257,0.00133,0.023,0.423,-0.023,2.2514,0.0518,1041.6,28.2,2.52,0.54,-0.24,790.0,91.9,59.06,-24.15,43.4,5592.0,152.0,-152.0,4.582,0.036,-0.144,0.787,0.169,-0.073,285.49924,49.277351,15.317,4.812464285206849,3.423821609718359,21.549824193120003,0.9585896730422974
1,0,0,0,0,4.125543472,3.133e-06,169.752585,0.000613,0.597,0.235,-0.367,3.1744,0.0362,1487.3,13.3,4.43,1.44,-0.51,1243.0,565.35,542.47,-188.14,128.6,6174.0,173.0,-239.0,4.417,0.056,-0.21,1.103,0.358,-0.128,291.93616,49.253979,15.506,4.817670872060048,3.365795134814085,21.615702837705612,0.7687148451805115
1,0,0,0,0,2.816504904,1.65e-07,170.9676846,4.66e-05,0.105,0.264,-0.119,2.50587,0.00666,16814.0,11.0,12.21,1.62,-0.87,1219.0,521.13,184.34,-97.95,1406.8,5532.0,74.0,-83.0,4.452,0.063,-0.108,0.955,0.127,-0.068,297.01547,49.225288,15.052,4.772308812016575,3.344050769517164,30.04836279153824,1.122403860092163
2,0,1,1,0,33.93373447,6.154e-05,186.67608,0.00137,0.812,0.006,-0.009,14.561,0.104,8503.7,44.3,7.34,0.9,-0.6,430.0,8.11,3.25,-2.06,236.1,5040.0,136.0,-151.0,4.628,0.03,-0.07,0.705,0.086,-0.058,284.17233,49.360722,15.716,4.827558743750168,2.948837806611601,53.62614059448242,1.6666394472122192
1,0,0,0,0,3.689920099,8.982e-06,170.36571,0.00191,0.151,0.304,-0.151,2.6557,0.0677,426.7,13.8,1.89,0.54,-0.2,1147.0,408.99,342.24,-123.32,35.6,5880.0,157.0,-192.0,4.518,0.046,-0.196,0.917,0.262,-0.098,291.62241,50.61824,15.242,4.840062966555024,3.150342764611118,23.023153334856033,0.976032018661499
1,0,0,0,0,4.431238488,6.106e-06,171.015,0.00111,0.405,0.041,-0.405,3.15,0.0423,1010.9,15.2,3.25,0.47,-0.25,1104.0,351.23,135.26,-68.33,71.1,5714.0,77.0,-77.0,4.428,0.063,-0.117,1.015,0.148,-0.079,295.81616,51.121738,15.367,4.813551460190055,3.5793214108863114,25.27069988846779,1.1040399074554443
1,0,0,0,0,11.37936986,2.415e-05,133.84992,0.00183,0.911,0.009,-0.656,2.6255,0.073,1023.5,29.7,3.95,0.57,-0.31,806.0,99.68,38.38,-19.39,37.9,5714.0,77.0,-77.0,4.428,0.063,-0.117,1.015,0.148,-0.079,295.81616,51.121738,15.367,4.825618995368713,3.244525548978131,22.70168834924698,0.9500530362129211
1,0,0,0,0,26.39432897,5.724e-05,176.05459,0.00176,0.602,0.25,-0.396,3.573,0.0643,1510.9,36.3,3.07,0.41,-0.22,489.0,13.49,6.07,-3.21,48.2,5129.0,154.0,-154.0,4.595,0.03,-0.084,0.763,0.103,-0.055,289.39972,51.25032,15.234,4.812340081308124,3.334259811947982,24.22125881910324,0.8728126287460327
1,0,0,0,0,13.57078281,1.585e-05,136.279194,0.000957,0.866,0.015,-0.621,3.3539,0.0489,511.7,6.3,2.64,0.4,-0.27,785.0,89.61,38.12,-22.92,88.4,5854.0,105.0,-117.0,4.406,0.09,-0.11,1.012,0.154,-0.103,300.86398,44.337551,12.882,4.802269486098359,2.518503745432198,21.3353573679924,0.5078755021095276
1,0,0,0,0,7.12594387,1.406e-05,139.00492,0.00159,0.898,0.013,-0.699,3.0014,0.0384,192.4,4.4,1.79,0.26,-0.23,997.0,233.31,94.86,-70.6,47.1,5779.0,104.0,-115.0,4.339,0.132,-0.108,1.087,0.157,-0.142,287.88733,46.276241,12.791,4.763019378481142,2.677827425210965,20.943354561924934,0.5627522468566895
2,0,1,0,0,7.442652004,7.02e-07,169.9717797,7.32e-05,0.137,0.346,-0.224,2.3078,0.0129,24446.0,37.8,15.03,4.73,-1.58,967.0,206.78,195.52,-61.76,835.6,6108.0,183.0,-201.0,4.469,0.07,-0.21,0.956,0.301,-0.1,288.98682,49.733742,15.27,4.832593677886674,3.5157509172500134,35.02931022644043,1.324051022529602
1,0,0,0,0,16.38489988,5.219e-05,172.72782,0.00248,0.001,0.437,-0.001,3.0249,0.0798,1127.1,42.0,2.0,0.09,-0.1,433.0,8.35,1.49,-1.35,28.9,4126.0,82.0,-82.0,4.661,0.022,-0.022,0.615,0.027,-0.029,286.73804,49.97575,15.095,4.786712302274066,2.8072246673359706,20.876599922776222,0.7286397814750671
1,0,0,0,0,7.8774163,1.493e-05,176.3759,0.00147,0.041,0.409,-0.041,2.0805,0.0517,1306.1,37.7,2.16,0.09,-0.11,553.0,22.18,3.97,-3.59,38.7,4126.0,82.0,-82.0,4.661,0.022,-0.022,0.615,0.027,-0.029,286.73804,49.97575,15.095,4.789776494216162,3.1769673452844027,20.799509659409523,0.6658825278282166
1,0,0,0,0,36.4454001,0.0001809,151.60125,0.00392,0.028,0.437,-0.028,4.007,0.126,1122.3,53.4,1.99,0.09,-0.09,332.0,2.88,0.51,-0.47,21.7,4126.0,82.0,-82.0,4.661,0.022,-0.022,0.615,0.027,-0.029,286.73804,49.97575,15.095,4.790936579769249,2.8520425997620706,20.44447185099125,0.6616482138633728
1,0,0,0,0,3.728732147,9.36e-07,171.793255,0.000195,0.558,0.13,-0.149,2.683,0.035,5226.5,18.5,6.02,1.22,-0.52,1023.0,258.34,162.58,-65.21,345.2,5497.0,166.0,-149.0,4.577,0.034,-0.136,0.809,0.164,-0.07,290.78574,50.054119,15.523,4.832738881078814,3.123007949158372,23.971165597438812,1.0349112153053284
0,0,0,0,0,40.4195037,0.0001139,173.56469,0.00222,0.911,5.567,-0.118,3.362,0.14,6256.0,230.0,7.51,1.12,-0.91,467.0,11.29,5.67,-3.57,36.9,5446.0,179.0,-163.0,4.507,0.116,-0.105,0.781,0.116,-0.095,294.31686,50.080231,15.487,4.83313772285443,3.1680655057551843,27.3626309633255,0.775312066078186
1,0,0,0,0,2.243380573,2.67e-06,170.679233,0.0009,0.915,0.009,-0.63,1.1196,0.0384,821.7,25.6,1.99,0.1,-0.12,822.0,107.6,21.47,-20.32,38.9,4149.0,82.0,-91.0,4.698,0.024,-0.027,0.564,0.03,-0.033,285.17621,50.149818,15.135,4.748094141796915,3.2971096352779297,19.247923716902733,0.7219205498695374
2,0,1,0,0,10.405998015,2.515e-06,177.197466,0.00019,0.324,0.061,-0.075,6.5036,0.0145,14489.0,22.4,11.23,2.92,-1.95,833.0,113.94,90.01,-45.01,745.2,5746.0,173.0,-173.0,4.393,0.18,-0.198,0.924,0.241,-0.16,289.23553,50.241001,15.562,4.827553979219666,3.401116429806656,36.69305261969566,1.2351324558258057
1,0,0,0,0,2.337437946,1.951e-06,171.761982,0.000659,0.28,0.189,-0.28,1.9982,0.0271,971.2,13.7,2.34,0.17,-0.09,1070.0,311.16,69.46,-40.17,82.4,5005.0,79.0,-79.0,4.595,0.012,-0.064,0.765,0.055,-0.028,293.83331,50.23035,15.334,4.768056944331569,3.358151084975651,21.88589099049568,0.9291414022445679
0,0,0,0,0,7.2406612,1.617e-05,137.75545,0.002,1.198,49.85,-0.258,0.558,0.171,556.4,44.1,19.45,1.4,-0.71,734.0,68.63,15.32,-8.86,13.7,5005.0,79.0,-79.0,4.595,0.012,-0.064,0.765,0.055,-0.028,293.83331,50.23035,15.334,4.835523102981082,2.9283157633707764,68.61533558368683,2.328155040740967
0,0,0,0,0,3.43591631,4.729e-05,132.6624,0.011,0.624,0.037,-0.476,3.133,0.407,23.2,3.4,0.55,0.08,-0.07,1272.0,617.61,251.11,-186.88,8.7,5779.0,104.0,-115.0,4.339,0.132,-0.108,1.087,0.157,-0.142,287.88733,46.276241,12.791,4.767090124283738,2.529390122030272,19.98317350447178,0.4310809373855591
1,0,0,0,0,11.59822233,1.407e-05,180.395376,0.000923,0.679,0.187,-0.47,2.5237,0.052,2804.5,46.3,2.65,0.21,-0.29,396.0,5.82,1.49,-1.63,71.0,3688.0,73.0,-91.0,4.79,0.05,-0.045,0.473,0.037,-0.051,296.22195,50.28722,15.937,4.773072424191694,2.011059516663773,20.55906043946743,0.6367030143737793
1,0,0,0,0,6.575315881,3.726e-06,173.634044,0.000455,0.39,0.065,-0.306,4.3084,0.0306,2793.3,14.9,5.31,1.5,-0.81,1015.0,251.38,209.1,-91.63,221.1,5992.0,162.0,-180.0,4.415,0.105,-0.195,0.989,0.28,-0.151,290.09805,50.321609,15.312,4.850591855136879,3.0813019772501273,23.727478504180908,1.0245304703712463
1,0,0,0,0,7.275040844,4.677e-06,169.994217,0.000507,0.547,0.052,-0.229,7.5377,0.0681,3001.0,11.5,4.86,1.05,-0.37,833.0,113.64,75.31,-28.97,312.1,5485.0,164.0,-180.0,4.556,0.028,-0.161,0.867,0.187,-0.067,295.45529,50.49456,15.08,4.834333185472942,2.933272181249353,24.076219618320465,1.153994858264923
1,0,0,0,0,19.27153892,4.145e-05,186.77093,0.00182,0.031,0.36,-0.031,2.7594,0.0551,1219.8,35.3,1.93,0.1,-0.12,393.0,5.66,1.13,-1.06,37.1,4077.0,81.0,-81.0,4.702,0.027,-0.027,0.56,0.03,-0.034,293.97336,50.53191,15.385,4.720878761473271,1.8126272811423068,22.38371278345585,0.452644944190979
1,0,0,0,0,10.06524317,1.49e-05,136.28906,0.00119,0.628,0.003,-0.478,1.369,0.0393,1053.3,39.2,1.91,0.1,-0.12,488.0,13.43,2.69,-2.5,30.3,4077.0,81.0,-81.0,4.702,0.027,-0.027,0.56,0.03,-0.034,293.97336,50.53191,15.385,4.763985822070953,2.586787952225045,21.604558527469635,0.649817943572998
1,0,0,0,0,12.3935651,3.932e-05,178.74725,0.00245,0.883,0.033,-0.64,3.8896,0.0834,916.6,29.1,2.66,0.54,-0.23,677.0,49.68,31.16,-12.97,35.8,5557.0,166.0,-166.0,4.603,0.034,-0.128,0.75,0.152,-0.065,296.02133,50.56778,15.505,4.838159618632822,3.752417391842085,25.922272384166718,1.39113187789917
1,0,0,0,0,43.84439721,9.613e-05,151.93538,0.00192,0.852,0.039,-0.585,6.802,0.119,615.2,7.7,2.87,0.43,-0.3,531.0,18.77,7.98,-4.8,83.7,5854.0,105.0,-117.0,4.406,0.09,-0.11,1.012,0.154,-0.103,300.86398,44.337551,12.882,4.795500055336458,2.7390544836925854,22.081116437911987,0.632384181022644
